,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
283,Bowdoin College Baccalaureate MAINE,"$146,600",3.7%,66,"$190,600",102.9,1591
1230,Bowdoin College Baccalaureate MAINE,"$107,500",4.3%,54,"$142,700",98.7,1596
2179,Bowdoin College Baccalaureate MAINE,"$87,400",5.2%,48,"$117,600",95.2,1601
3128,Bowdoin College Baccalaureate MAINE,$0,,0,-,,1606
293,Bowie State University Master MARYLAND,"$98,100",1.5%,41,"$128,300",93.9,1591
1240,Bowie State University Master MARYLAND,"$93,400",1.9%,52,"$124,000",125.7,1596
2189,Bowie State University Master MARYLAND,"$72,400",0.5%,79,"$92,200",95.2,1601
3138,Bowie State University Master MARYLAND,"$70,100",,9,-,,1606
568,Bowling Green State University-Firelands Associate with Ranks OHIO,"$92,800",3.7%,6,"$123,400",112.7,1591
1515,Bowling Green State University-Firelands Associate with Ranks OHIO,"$68,900",3.2%,14,"$90,800",111.9,1596
2464,Bowling Green State University-Firelands Associate with Ranks OHIO,"$55,300",9.1%,4,"$77,300",89.9,1601
3413,Bowling Green State University-Firelands Associate with Ranks OHIO,"$54,100",4.2%,7,"$68,400",,1606
567,Bowling Green State University-Main Campus Doctoral OHIO,"$110,100",3.4%,175,"$139,800",94.1,1591
1514,Bowling Green State University-Main Campus Doctoral OHIO,"$84,800",4.6%,205,"$109,000",92.8,1596
2463,Bowling Green State University-Main Campus Doctoral OHIO,"$74,100",5.8%,107,"$94,800",90.8,1601
3412,Bowling Green State University-Main Campus Doctoral OHIO,"$52,400",3.9%,101,"$68,700",93.1,1606
163,Bradley University Master ILLINOIS,"$104,000",5.4%,83,"$126,800",86.4,1591
1110,Bradley University Master ILLINOIS,"$79,300",5.6%,107,"$98,700",91.6,1596
2059,Bradley University Master ILLINOIS,"$69,900",5.5%,114,"$88,500",97.3,1601
3008,Bradley University Master ILLINOIS,"$56,600",3.7%,32,"$69,500",87.3,1606
318,Brandeis University Doctoral MASSACHUSETTS,"$151,900",3.5%,150,"$194,300",96.6,1591
1265,Brandeis University Doctoral MASSACHUSETTS,"$108,100",4.0%,92,"$139,000",99.8,1596
2214,Brandeis University Doctoral MASSACHUSETTS,"$90,500",4.1%,65,"$112,000",97.3,1601
3163,Brandeis University Doctoral MASSACHUSETTS,$0,2.0%,2,-,,1606
531,Brevard College Baccalaureate NORTH CAROLINA,"$50,100",0.6%,10,"$63,400",102.3,1591
1478,Brevard College Baccalaureate NORTH CAROLINA,"$45,300",2.1%,24,"$56,100",105.0,1596
2427,Brevard College Baccalaureate NORTH CAROLINA,"$43,600",0.2%,18,"$53,700",97.1,1601
3376,Brevard College Baccalaureate NORTH CAROLINA,$0,,0,-,,1606
794,Bridgewater College Baccalaureate VIRGINIA,"$79,200",2.0%,11,"$100,000",143.4,1591
1743,Bridgewater College Baccalaureate VIRGINIA,"$64,800",2.4%,46,"$80,400",97.9,1596
2692,Bridgewater College Baccalaureate VIRGINIA,"$55,300",3.7%,39,"$68,400",101.6,1601
3641,Bridgewater College Baccalaureate VIRGINIA,"$49,100",2.0%,24,"$62,600",91.9,1606
710,Brown University Doctoral RHODE ISLAND,"$183,900",2.6%,400,"$222,400",94.2,1591
1658,Brown University Doctoral RHODE ISLAND,"$120,100",4.6%,141,"$148,400",92.4,1596
2607,Brown University Doctoral RHODE ISLAND,"$97,400",3.9%,153,"$121,400",93.5,1601
3556,Brown University Doctoral RHODE ISLAND,"$72,300",,56,"$92,100",105.0,1606
711,Bryant University Baccalaureate RHODE ISLAND,"$166,600",4.4%,70,"$214,100",90.1,1591
1659,Bryant University Baccalaureate RHODE ISLAND,"$135,900",4.3%,37,"$177,100",98.1,1596
2608,Bryant University Baccalaureate RHODE ISLAND,"$117,300",4.2%,13,"$142,600",92.9,1601
3557,Bryant University Baccalaureate RHODE ISLAND,$0,,0,-,,1606
638,Bryn Mawr College Master PENNSYLVANIA,"$139,600",1.8%,52,"$179,400",96.0,1591
1586,Bryn Mawr College Master PENNSYLVANIA,"$97,000",3.4%,36,"$128,900",97.1,1596
2535,Bryn Mawr College Master PENNSYLVANIA,"$78,200",4.1%,37,"$103,600",98.5,1601
3484,Bryn Mawr College Master PENNSYLVANIA,"$61,900",2.4%,7,"$80,900",78.4,1606
639,Bucknell University Baccalaureate PENNSYLVANIA,"$124,700",2.6%,119,"$161,000",95.8,1591
