,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
1946,Niagara County Community College ,91700,0.7,54.0,134000.0,95.3,P,YORK,Rank
1947,Niagara County Community College ,75800,1.1,10.0,113900.0,97.2,AP,YORK,Rank
1948,Niagara County Community College ,64200,1.4,16.0,97200.0,95.3,aP,YORK,Rank
1949,Niagara County Community College ,50000,7.3,22.0,76700.0,98.4,I,YORK,Rank
1950,North Carolina A & T State University ,101000,1.9,106.0,139300.0,103.7,P,CAROLINA,Master
1951,North Carolina A & T State University ,84300,3.6,179.0,110400.0,98.2,AP,CAROLINA,Master
1952,North Carolina A & T State University ,72500,2.8,87.0,94800.0,94.6,aP,CAROLINA,Master
1953,North Carolina A & T State University ,0,1.4,3.0,,,I,CAROLINA,Master
1954,North Carolina Central University ,97900,1.6,72.0,136900.0,93.0,P,CAROLINA,Master
1955,North Carolina Central University ,80600,2.1,116.0,109800.0,97.4,AP,CAROLINA,Master
1956,North Carolina Central University ,68100,1.7,88.0,89900.0,101.1,aP,CAROLINA,Master
1957,North Carolina Central University ,60100,1.6,6.0,97600.0,103.7,I,CAROLINA,Master
1958,North Carolina State University at Raleigh ,129600,1.6,662.0,177700.0,96.0,P,CAROLINA,Doctor
1959,North Carolina State University at Raleigh ,93100,3.0,484.0,126400.0,94.0,AP,CAROLINA,Doctor
1960,North Carolina State University at Raleigh ,81300,2.9,390.0,110000.0,90.8,aP,CAROLINA,Doctor
1961,North Carolina State University at Raleigh ,0,1.8,1.0,,,I,CAROLINA,Doctor
1962,North Carolina Wesleyan College ,58900,2.2,12.0,74800.0,103.1,P,CAROLINA,Baccalaureate
1963,North Carolina Wesleyan College ,58700,2.2,22.0,77200.0,99.7,AP,CAROLINA,Baccalaureate
1964,North Carolina Wesleyan College ,48100,2.8,18.0,62700.0,101.8,aP,CAROLINA,Baccalaureate
1965,North Carolina Wesleyan College ,52600,2.0,7.0,70500.0,92.7,I,CAROLINA,Baccalaureate
1966,North Central College ,96500,2.1,50.0,124500.0,91.5,P,ILLINOIS,Master
1967,North Central College ,76900,2.2,43.0,101200.0,101.1,AP,ILLINOIS,Master
1968,North Central College ,65800,1.8,63.0,83800.0,96.1,aP,ILLINOIS,Master
1969,North Central College ,0,2.2,3.0,,116.3,I,ILLINOIS,Master
1970,North Dakota State University-Main Campus ,108100,0.5,170.0,167900.0,91.0,P,DAKOTA,Doctor
1971,North Dakota State University-Main Campus ,85000,0.6,210.0,123700.0,96.4,AP,DAKOTA,Doctor
1972,North Dakota State University-Main Campus ,71000,0.5,214.0,104000.0,94.4,aP,DAKOTA,Doctor
1973,North Dakota State University-Main Campus ,0,0.0,3.0,,166.2,I,DAKOTA,Doctor
1974,North Iowa Area Community College ,65800,,67.0,95500.0,99.5,U,IOWA,NoRank
